Region,Date,Unemployment_Rate
Goa,2019-08-31,4.9
Goa,2019-09-30,3.16
Goa,2019-10-31,12.31
Goa,2019-11-30,25.2
Goa,2019-12-31,16.22
Goa,2020-01-31,10.92
Goa,2020-02-29,4.31
Goa,2020-03-31,4.76
Goa,2020-04-30,11.76
Gujarat,2019-05-31,4.09
Gujarat,2019-06-30,6.31
Gujarat,2019-07-31,5.15
Gujarat,2019-08-31,4.2
Gujarat,2019-09-30,5.96
Gujarat,2019-10-31,5.45
Gujarat,2019-11-30,7.53
Gujarat,2019-12-31,5.71
Gujarat,2020-01-31,5.82
Gujarat,2020-02-29,6.04
Gujarat,2020-03-31,5.39
Gujarat,2020-04-30,25.94
Gujarat,2020-05-31,11.62
Gujarat,2020-06-30,4.54
Haryana,2019-05-31,24.67
Haryana,2019-06-30,20.42
Haryana,2019-07-31,25.45
Haryana,2019-08-31,24.19
Haryana,2019-09-30,26.84
Haryana,2019-10-31,21.04
Haryana,2019-11-30,27.06
Haryana,2019-12-31,23.65
Haryana,2020-01-31,27.24
Haryana,2020-02-29,23.29
Haryana,2020-03-31,27.14
Haryana,2020-04-30,46.89
Haryana,2020-05-31,38.46
Haryana,2020-06-30,29.41
Himachal Pradesh,2019-05-31,10.88
Himachal Pradesh,2019-06-30,21.43
Himachal Pradesh,2019-07-31,21.51
Himachal Pradesh,2019-08-31,24.48
Himachal Pradesh,2019-09-30,12.0
Himachal Pradesh,2019-10-31,23.77
Himachal Pradesh,2019-11-30,27.27
Himachal Pradesh,2019-12-31,25.32
Himachal Pradesh,2020-01-31,18.15
Himachal Pradesh,2020-02-29,27.31
Himachal Pradesh,2020-03-31,26.44
Himachal Pradesh,2020-04-30,2.7
Himachal Pradesh,2020-05-31,50.0
Himachal Pradesh,2020-06-30,10.81
Jammu & Kashmir,2019-05-31,23.04
Jammu & Kashmir,2019-06-30,19.88
Jammu & Kashmir,2019-07-31,21.55
Jammu & Kashmir,2019-10-31,24.06
Jammu & Kashmir,2019-11-30,14.29
Jammu & Kashmir,2019-12-31,7.02
Jammu & Kashmir,2020-01-31,18.54
Jammu & Kashmir,2020-02-29,19.86
Jammu & Kashmir,2020-03-31,14.29
Jammu & Kashmir,2020-05-31,12.96
Jharkhand,2019-05-31,17.23
Jharkhand,2019-06-30,20.51
Jharkhand,2019-07-31,15.67
Jharkhand,2019-08-31,20.25
Jharkhand,2019-09-30,21.16
Jharkhand,2019-10-31,19.05
Jharkhand,2019-11-30,17.34
Jharkhand,2019-12-31,22.01
Jharkhand,2020-01-31,22.96
Jharkhand,2020-02-29,19.67
Jharkhand,2020-03-31,16.4
Jharkhand,2020-04-30,61.48
Jharkhand,2020-05-31,70.17
Jharkhand,2020-06-30,19.38
Karnataka,2019-05-31,6.56
Karnataka,2019-06-30,5.0
Karnataka,2019-07-31,2.29
Karnataka,2019-08-31,1.27
Karnataka,2019-09-30,3.57
Karnataka,2019-10-31,3.87
Karnataka,2019-11-30,3.44
Karnataka,2019-12-31,1.56
Karnataka,2020-01-31,3.31
Karnataka,2020-02-29,2.88
Karnataka,2020-03-31,4.92
Karnataka,2020-04-30,25.12
Karnataka,2020-05-31,15.88
Karnataka,2020-06-30,6.12
Kerala,2019-05-31,6.11
Kerala,2019-06-30,6.67
Kerala,2019-07-31,7.58
Kerala,2019-08-31,7.69
Kerala,2019-09-30,5.52
Kerala,2019-10-31,5.35
Kerala,2019-11-30,6.71
Kerala,2019-12-31,7.31
